Time,S1_V,S1_C,S1_P,S1_R,C_Tsur,C_I,C_V,C_R,W_Tamb,W_G,W_RH,C_Tsur_C2,C_I_C2,C_V_C2,C_R_C2,W_Tamb_C2,W_G_C2,W_RH_C2,C_Tsur_C3,C_I_C3,C_V_C3,C_R_C3,W_Tamb_C3,W_G_C3,W_RH_C3
2022-09-09 08:45:00,195.4,4.2,821.0,46.523809523809526,36.0,4.3,3.0,0.6976744186046512,33.045,330.42,65.025,36.0,4.2,3.0,0.7142857142857143,33.045,330.42,65.025,34.0,4.09,3.5,0.8557457212713937,33.045,331.88750000000005,64.9025
2022-09-09 08:50:00,194.3,4.3,835.0,45.186046511627914,36.0,4.425,3.0,0.6785075389726553,33.29,339.2125,64.47749999999999,37.0,4.3,3.0,0.6976744186046512,33.23,340.19,64.72,34.666666666666664,4.416666666666667,3.6666666666666665,0.8291480985965323,33.23,337.26,64.59833333333334
2022-09-09 08:55:00,182.5,4.3,785.0,42.44186046511628,36.0,4.59,3.0,0.6535978735523068,33.35,343.115,64.50999999999999,37.0,4.51,3.0,0.665306222801367,33.35,343.115,64.50999999999999,34.0,4.4399999999999995,4.0,0.9012712186952881,33.35,343.115,64.50999999999999
2022-09-09 09:00:00,180.9,4.6,832.0,39.32608695652174,36.0,4.766666666666667,3.0,0.6302522874458506,33.29,358.0883333333333,64.68166666666667,37.0,4.95,4.0,0.8080808080808081,33.17,367.53,64.905,34.333333333333336,4.69,4.0,0.8549200623125524,33.29,358.0883333333333,64.68166666666667
2022-09-09 09:05:00,190.3,4.9,932.0,38.83673469387755,36.0,4.779999999999999,3.0,0.6276397855345224,33.260000000000005,361.18,64.965,37.5,4.875,3.0,0.6153852627326892,33.260000000000005,361.18,64.965,35.0,4.865,4.0,0.8222002518146712,33.260000000000005,361.18,64.965
2022-09-09 09:10:00,192.9,4.9,945.0,39.36734693877551,37.0,4.92,3.0,0.611182013896946,33.87833333333334,364.6016666666667,62.89000000000001,38.0,4.84,3.3333333333333335,0.6868844895977947,33.87833333333334,364.6016666666667,62.89000000000001,36.0,4.88,4.0,0.8208881702857607,33.87833333333334,364.6016666666667,62.89000000000001
2022-09-09 09:15:00,191.7,4.9,939.0,39.12244897959183,37.5,5.265000000000001,3.0,0.5699162174449568,34.265,383.64250000000004,61.302499999999995,38.5,5.175,3.5,0.6757059530833402,34.265,383.64250000000004,61.302499999999995,36.0,5.244999999999999,5.0,0.9533105047729142,34.265,383.64250000000004,61.302499999999995
2022-09-09 09:20:00,191.5,5.3,1015.0,36.132075471698116,37.5,4.875,3.0,0.6198767451914519,34.205,333.35,60.725,38.0,4.91,3.5,0.7099127809459913,34.205,333.35,60.725,36.0,4.95,4.0,0.8164106793114112,34.205,333.35,60.725
2022-09-09 09:30:00,194.2,3.8,738.0,51.10526315789473,37.0,5.19,3.0,0.5780346820809248,34.08,312.845,60.63,38.0,4.824999999999999,3.0,0.6244230288075785,34.05,310.89250000000004,60.815,35.5,4.675,4.0,0.8600310898939448,34.05,310.89250000000004,60.815
2022-09-09 09:35:00,191.8,3.8,729.0,50.47368421052632,37.0,6.01,3.0,0.4991680532445923,34.33,418.31,60.515,38.0,5.91,4.0,0.676818950930626,34.33,418.31,60.515,36.0,5.9,6.0,1.0169491525423728,34.33,418.31,60.515
2022-09-09 09:50:00,192.6,5.1,982.0,37.76470588235294,36.0,4.01,3.0,0.7481296758104738,33.35,291.36,63.13,38.0,4.03,3.0,0.7444168734491314,33.35,291.36,63.13,36.0,4.06,3.0,0.7389162561576356,33.35,291.36,63.13
2022-09-09 09:55:00,196.2,3.5,687.0,56.05714285714286,36.0,6.13,4.0,0.6525285481239804,33.47,416.355,62.89,37.0,6.09,4.0,0.6568144499178982,33.47,416.355,62.89,35.0,6.1,5.0,0.819672131147541,33.47,416.355,62.89
2022-09-09 10:00:00,193.3,6.4,1237.0,30.203125,37.0,6.316666666666666,3.3333333333333335,0.5396900508580728,33.655,446.3016666666667,61.64833333333333,38.666666666666664,6.283333333333334,4.0,0.6367316174813914,33.655,446.3016666666667,61.64833333333333,35.666666666666664,6.260000000000001,5.0,0.7936200790599561,33.655,446.3016666666667,61.64833333333333
2022-09-09 10:05:00,189.3,6.2,1174.0,30.53225806451613,37.5,6.455,4.0,0.6199875138068482,34.1125,445.6475,58.435,39.0,6.380000000000001,5.0,0.7843947251298923,34.1125,445.6475,58.435,36.0,6.305,5.5,0.8705188322492816,34.1125,445.6475,58.435
2022-09-09 10:10:00,188.9,7.0,1322.0,26.985714285714288,38.0,6.4799999999999995,3.3333333333333335,0.5147723175035351,34.49,509.4483333333333,57.11166666666667,39.0,6.566666666666666,5.0,0.7565364105942836,34.49,509.4483333333333,57.11166666666667,36.0,6.6066666666666665,5.333333333333333,0.8086306207004919,34.49,509.4483333333333,57.11166666666667
2022-09-09 10:20:00,182.5,7.1,1296.0,25.704225352112676,38.0,6.8066666666666675,3.6666666666666665,0.5363706944904703,34.63,466.80833333333334,57.093333333333334,38.666666666666664,6.846666666666667,5.0,0.7319159677539827,34.63,466.80833333333334,57.093333333333334,36.0,6.763333333333333,5.333333333333333,0.7887904706825353,34.63,466.80833333333334,57.093333333333334
2022-09-09 10:25:00,183.4,7.3,1339.0,25.123287671232877,38.5,7.44,4.0,0.5380630813874651,34.510000000000005,511.07500000000005,56.8175,40.0,7.46,6.0,0.804382049125531,34.510000000000005,511.07500000000005,56.8175,37.0,7.42,6.0,0.8087193460490463,34.510000000000005,511.07500000000005,56.8175
